order_id	order_date	product_id	category	sales
US-2019-103471	2022-12-24	FUR-BO-10002613	Furniture	590.058
US-2019-103471	2022-12-24	OFF-AR-10003405	Office Supplies	14.04
CA-2021-136672	2024-03-07	TEC-AC-10004510	Technology	49.08
US-2018-157021	2021-04-01	OFF-LA-10002312	Office Supplies	29.6
US-2018-157021	2021-04-01	OFF-BI-10000042	Office Supplies	17.088
CA-2019-120362	2022-09-14	FUR-TA-10003008	Furniture	912.75
CA-2018-126361	2021-08-04	OFF-AP-10003590	Office Supplies	1089.75
CA-2018-126361	2021-08-04	OFF-PA-10000806	Office Supplies	447.84
CA-2018-126361	2021-08-04	OFF-AR-10000896	Office Supplies	16.4
CA-2018-126361	2021-08-04	TEC-PH-10002310	Technology	399.96
CA-2018-161508	2021-07-12	OFF-PA-10001804	Office Supplies	16.032
CA-2018-126361	2021-08-04	OFF-ST-10002289	Office Supplies	158.9
CA-2018-126361	2021-08-04	OFF-BI-10002852	Office Supplies	13.184
US-2020-100566	2023-09-03	FUR-FU-10003394	Furniture	83.952
US-2020-108504	2023-02-05	OFF-ST-10002344	Office Supplies	80.98
US-2020-108504	2023-02-05	OFF-PA-10001289	Office Supplies	348.84
US-2020-108504	2023-02-05	OFF-FA-10000053	Office Supplies	9.45
US-2020-108504	2023-02-05	FUR-FU-10004091	Furniture	18.84
CA-2019-142937	2022-12-05	OFF-AR-10003582	Office Supplies	45.04
US-2020-149790	2023-09-26	OFF-BI-10002026	Office Supplies	15.624
CA-2020-130778	2023-11-19	OFF-AP-10000595	Office Supplies	8.74
CA-2020-130778	2023-11-19	OFF-PA-10001509	Office Supplies	44.75
CA-2018-110555	2021-04-11	TEC-PH-10000586	Technology	105.584
CA-2021-147207	2024-01-02	OFF-AR-10001955	Office Supplies	31.744
US-2018-120236	2021-09-03	OFF-BI-10004099	Office Supplies	7.68
CA-2020-153269	2023-03-09	OFF-ST-10004634	Office Supplies	11.21
CA-2020-153269	2023-03-09	FUR-CH-10002647	Furniture	354.9
CA-2020-153269	2023-03-09	OFF-PA-10001801	Office Supplies	17.94
CA-2020-153269	2023-03-09	OFF-BI-10004632	Office Supplies	51.8
CA-2020-101469	2023-07-02	OFF-AR-10003986	Office Supplies	7.7
CA-2018-153087	2021-12-27	OFF-PA-10001243	Office Supplies	23.92
CA-2018-153087	2021-12-27	TEC-AC-10003198	Technology	498
CA-2018-161634	2021-11-14	OFF-PA-10002262	Office Supplies	32.4
CA-2020-132549	2023-11-25	OFF-ST-10001325	Office Supplies	73.36
US-2018-155544	2021-03-21	OFF-LA-10004544	Office Supplies	59.2
US-2018-155544	2021-03-21	FUR-FU-10001473	Furniture	32.952
CA-2020-154067	2023-02-01	OFF-PA-10002254	Office Supplies	105.52
US-2018-155544	2021-03-21	FUR-CH-10000422	Furniture	218.376
US-2019-115238	2022-04-30	FUR-FU-10002960	Furniture	31.4
US-2019-115238	2022-04-30	FUR-FU-10002445	Furniture	9.48
US-2019-115238	2022-04-30	TEC-PH-10001300	Technology	209.5
US-2019-115238	2022-04-30	FUR-FU-10001025	Furniture	24.3
US-2019-115238	2022-04-30	OFF-PA-10002689	Office Supplies	6.48
CA-2020-163174	2023-08-26	FUR-FU-10000308	Furniture	186.54
CA-2018-110555	2021-04-11	OFF-ST-10000876	Office Supplies	87.08
CA-2018-110555	2021-04-11	TEC-AC-10003399	Technology	217.44
CA-2021-147207	2024-01-02	OFF-AP-10000027	Office Supplies	5.432
CA-2019-110814	2022-12-05	OFF-PA-10004156	Office Supplies	22.68
CA-2021-147207	2024-01-02	FUR-TA-10002958	Furniture	913.43
CA-2021-147207	2024-01-02	OFF-ST-10002615	Office Supplies	372.144
CA-2021-157273	2024-01-30	TEC-PH-10002275	Technology	604.768
CA-2018-109918	2021-09-07	OFF-SU-10004290	Office Supplies	27.36
CA-2018-109918	2021-09-07	OFF-PA-10000174	Office Supplies	20.56
CA-2018-109918	2021-09-07	OFF-BI-10004308	Office Supplies	83.92
CA-2020-118745	2023-06-11	FUR-TA-10003473	Furniture	902.712
CA-2020-163972	2023-10-17	FUR-BO-10003894	Furniture	120.666
CA-2018-165393	2021-12-27	OFF-BI-10001658	Office Supplies	4.984
CA-2020-113726	2023-11-24	FUR-FU-10003535	Furniture	82.26
CA-2020-152940	2023-11-10	OFF-ST-10000352	Office Supplies	29.74
CA-2019-158701	2022-01-05	OFF-AP-10004859	Office Supplies	87.36
CA-2019-158701	2022-01-05	OFF-BI-10001294	Office Supplies	56.16
CA-2019-162964	2022-11-12	OFF-PA-10003349	Office Supplies	15.552
CA-2020-145135	2023-11-26	OFF-PA-10004285	Office Supplies	13.36
CA-2018-152254	2021-06-30	OFF-PA-10001144	Office Supplies	310.688
CA-2019-162964	2022-11-12	OFF-ST-10002344	Office Supplies	64.784
CA-2019-162964	2022-11-12	OFF-EN-10003055	Office Supplies	223.888
CA-2018-103527	2021-09-09	OFF-PA-10001622	Office Supplies	10.896
CA-2020-134544	2023-03-17	TEC-PH-10003800	Technology	84.784
CA-2020-163048	2023-02-08	FUR-CH-10001270	Furniture	241.5
CA-2020-145135	2023-11-26	TEC-AC-10003447	Technology	59.97
CA-2019-149601	2022-05-28	OFF-ST-10001558	Office Supplies	16.24
CA-2019-149601	2022-05-28	OFF-ST-10001328	Office Supplies	77.55
CA-2018-139423	2021-11-01	OFF-AP-10004708	Office Supplies	76.12
CA-2020-102596	2023-12-27	OFF-FA-10000621	Office Supplies	17.184
CA-2020-142594	2023-12-01	TEC-PH-10000193	Technology	137.94
CA-2020-142594	2023-12-01	FUR-FU-10002045	Furniture	111.15
CA-2020-159765	2023-05-09	OFF-AR-10003514	Office Supplies	27.86
CA-2020-147109	2023-12-17	OFF-PA-10001972	Office Supplies	51.84
CA-2020-142594	2023-12-01	OFF-AP-10002945	Office Supplies	901.95
CA-2020-142594	2023-12-01	FUR-TA-10001095	Furniture	366.009
CA-2019-133837	2022-04-13	OFF-ST-10000344	Office Supplies	10.744
CA-2019-110814	2022-12-05	OFF-BI-10002026	Office Supplies	232.4
CA-2019-110814	2022-12-05	FUR-CH-10003535	Furniture	164.646
CA-2019-134082	2022-12-11	OFF-BI-10004230	Office Supplies	110.528
CA-2020-130820	2023-11-15	FUR-TA-10001768	Furniture	630.024
CA-2021-132290	2024-03-10	FUR-TA-10002228	Furniture	933.408
CA-2020-147109	2023-12-17	TEC-AC-10002942	Technology	165.6
CA-2020-111682	2023-06-17	FUR-CH-10003968	Furniture	319.41
CA-2020-111682	2023-06-17	OFF-BI-10001460	Office Supplies	48.48
CA-2020-111682	2023-06-17	OFF-AR-10001868	Office Supplies	1.68
CA-2020-137652	2023-08-28	OFF-BI-10004099	Office Supplies	18.432
